url,latitude,longitude,date,height,width,media,copyRight,country,address,keyword,source
https://live.staticflickr.com/3186/2846849247_416f0482dd_o.jpg,31.904589,54.351425,2008-07-22 12:42:49,1001.0,668.0,photo,0,Iran,Dowlat Abad Garden; شهید نواب صفوی; chahar monar; sheykhdad; Yazd; بخش مرکزی; Yazd County; Yazd Province; 8918917349; Iran,hotel room,flickr
https://farm8.staticflickr.com/7066/14112949401_193a1f4a33_b.jpg,32.646891,51.67488,2014-05-05 21:11:04,,,photo,0,Iran,دوم; Fateh abad; Region 3; Isfahan; بخش مرکزی شهرستان اصفهان; Isfahan County; Isfahan Province; 8145616414; Iran,hotel room,flickr
https://farm3.staticflickr.com/2888/11638195936_c157f66c5f_b.jpg,31.917621999999998,54.337986,2013-10-14 01:09:46,,,photo,0,Iran,Moshir Al-Mamalek Garden Hotel; Gol Anar Path; mard abad; کسنویه; Yazd; بخش مرکزی; Yazd County; Yazd Province; 8918886565; Iran,hotel room,flickr
https://farm9.staticflickr.com/8183/8127964465_b8f3f18317_b.jpg,32.861024,53.082482999999996,2012-09-24 15:05:56,,,photo,0,Iran,Rajaei; Koreh ha; Na'in; دهستان بافران; بخش مرکزی; Nain County; Isfahan Province; Iran,inn room,flickr
https://farm9.staticflickr.com/8332/8127697161_9e087f3060_b.jpg,32.861024,53.082482999999996,2012-09-24 14:56:28,,,photo,0,Iran,Rajaei; Koreh ha; Na'in; دهستان بافران; بخش مرکزی; Nain County; Isfahan Province; Iran,inn room,flickr
https://farm9.staticflickr.com/8053/8127983908_f266c3b370_b.jpg,32.861024,53.082482999999996,2012-09-24 15:04:47,,,photo,0,Iran,Rajaei; Koreh ha; Na'in; دهستان بافران; بخش مرکزی; Nain County; Isfahan Province; Iran,inn room,flickr
https://farm6.staticflickr.com/5192/14266922724_d58e59b9c2_b.jpg,38.074816,46.28213,2014-05-20 08:27:32,,,photo,0,Iran,Hotel Sina; فلسطین جنوبی; Ahrab; Tabriz; بخش مرکزی شهرستان تبریز; Tabriz County; East Azerbaijan Province; 9380715205; Iran,hotel bathroom,flickr
https://farm4.staticflickr.com/3733/14264005491_0485341769_b.jpg,38.074816,46.28213,2014-05-20 08:22:29,,,photo,0,Iran,Hotel Sina; فلسطین جنوبی; Ahrab; Tabriz; بخش مرکزی شهرستان تبریز; Tabriz County; East Azerbaijan Province; 9380715205; Iran,hotel bathroom,flickr
https://farm9.staticflickr.com/8043/8093275955_84b87fb54b_b.jpg,33.590869,51.586335999999996,2012-09-18 14:15:57,,,photo,0,Iran,Abyaneh Hotel; ابیانه - بادرود; Abyaneh; دهستان برزرود; بخش مرکزی; Natanz County; Isfahan Province; Iran,hotel bathroom,flickr
https://farm4.staticflickr.com/3731/14264002431_5fbccf029b_b.jpg,38.074816,46.28213,2014-05-20 08:21:00,,,photo,0,Iran,Hotel Sina; فلسطین جنوبی; Ahrab; Tabriz; بخش مرکزی شهرستان تبریز; Tabriz County; East Azerbaijan Province; 9380715205; Iran,hotel bathroom,flickr
https://farm9.staticflickr.com/8045/8081782721_fc52d670a5_b.jpg,33.980502,51.444344,2012-09-12 18:10:26,,,photo,0,Iran,Museum of fine arts; فرهنگ ۳۵; پا نخل; Kashan; بخش مرکزی; Kashan County; Isfahan Province; 87134; Iran,hotel bathroom,flickr
https://farm9.staticflickr.com/8464/8081838657_a2c939148f_b.jpg,33.980502,51.444344,2012-09-15 13:21:31,,,photo,0,Iran,Museum of fine arts; فرهنگ ۳۵; پا نخل; Kashan; بخش مرکزی; Kashan County; Isfahan Province; 87134; Iran,hotel bathroom,flickr
https://farm3.staticflickr.com/2925/14298566175_15269ca0c1_b.jpg,35.703819,51.421336,2014-05-09 17:37:00,,,photo,0,Iran,چاپ فاخر; 44; عباس موسوی; IranShahr; District 6; شهرداری منطقه شش ناحیه یک; Tehran; بخش مرکزی شهرستان تهران; Tehran County; Tehran Province; 1581635314; Iran,hotel bathroom,flickr
https://farm4.staticflickr.com/3815/14289390865_0441b253d2_b.jpg,38.24698,48.291263,2014-05-14 11:03:19,,,photo,0,Iran,Refah Bank; خیابان شیخ صفی الدین اردبیلی; محله طوی; Chahar rahe Emam; Ardabil; بخش مرکزی; Ardebil County; Ardabil Province; ۵۶۱۴۶۴۳۵۳۴; Iran,hotel bathroom,flickr
