url,latitude,longitude,date,height,width,media,copyRight,country,address,keyword,source
https://q-cf.bstatic.com/images/hotel/max1280x900/198/198879986.jpg,-9.4288333,159.94745739,2020-01-30T18:19:16+0000,853.0,1280.0,,,Solomon Islands,Hayden’s Steakhouse; Hibiscus Avenue; Rove-Lengakiki; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/966/96656384.jpg,-9.42968332,159.95283723,2020-03-08T09:48:55+0000,852.0,1280.0,,,Solomon Islands,Heritage Park Hotel; Mendana Avenue; Cruz; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/213/213431876.jpg,-9.4288333,159.94745739,2019-10-15T07:10:10+0000,853.0,1280.0,,,Solomon Islands,Hayden’s Steakhouse; Hibiscus Avenue; Rove-Lengakiki; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/227/22749313.jpg,-9.4301543,159.95397985,2020-05-03T18:00:53+0000,768.0,1024.0,,,Solomon Islands,Solomon Kitano Mendana Hotel; Mendana Avenue; Cruz; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/314/31488013.jpg,-9.43210677,159.95302505,2020-05-02T18:34:05+0000,777.0,1280.0,,,Solomon Islands,Bamboo Cafe & Bar; Hibiscus Avenue; Vavaea; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/227/22749332.jpg,-9.4301543,159.95397985,2020-02-09T23:39:56+0000,768.0,1024.0,,,Solomon Islands,Solomon Kitano Mendana Hotel; Mendana Avenue; Cruz; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/227/22749350.jpg,-9.4301543,159.95397985,2020-04-19T14:48:21+0000,768.0,1023.0,,,Solomon Islands,Solomon Kitano Mendana Hotel; Mendana Avenue; Cruz; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/198/198895884.jpg,-9.4288333,159.94745739,2019-12-21T09:11:32+0000,853.0,1280.0,,,Solomon Islands,Hayden’s Steakhouse; Hibiscus Avenue; Rove-Lengakiki; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/211/211839844.jpg,-9.42968332,159.95283723,2020-04-08T23:08:06+0000,853.0,1280.0,,,Solomon Islands,Heritage Park Hotel; Mendana Avenue; Cruz; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/172/172206581.jpg,-9.43210677,159.95302505,2020-09-07T19:45:06+0000,852.0,1280.0,,,Solomon Islands,Bamboo Cafe & Bar; Hibiscus Avenue; Vavaea; Honiara; 677; Solomon Islands,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/198/198880059.jpg,-9.4288333,159.94745739,2019-12-03T14:09:21+0000,853.0,1280.0,,,Solomon Islands,Hayden’s Steakhouse; Hibiscus Avenue; Rove-Lengakiki; Honiara; 677; Solomon Islands,hotel,cameraforensics
