url,latitude,longitude,date,height,width,media,copyRight,country,address,keyword,source
https://r-cf.bstatic.com/images/hotel/max1280x900/486/48696671.jpg,-25.33552667,-57.53163457,2020-05-18T19:38:12+0000,853.0,1280.0,,,Paraguay,Hotel del Sur; Avenida Mariscal Estigarribia; Domingo Savio; Zona Sur; Fernando de la Mora; Central; Región Oriental; 111439; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/223/223591525.jpg,-25.30620659,-57.60799929,2020-07-19T14:46:20+0000,900.0,675.0,,,Paraguay,Avenida Pedro Bruno Guggiari; Vista Alegre; Asuncion; Región Oriental; 1312; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/170/170660341.jpg,-25.286954,-57.626387,2019-10-11T16:47:47+0000,900.0,900.0,,,Paraguay,Shamrock; Mariscal José Félix Estigarribia; San Roque; Asuncion; Región Oriental; 1514; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/179/179516078.jpg,-25.065825,-57.198577,2019-10-11T16:47:52+0000,900.0,675.0,,,Paraguay,Ruta Nacional General Aquino; Cordillera; Región Oriental; 3190; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/177/177091045.jpg,-25.065825,-57.198577,2019-10-11T16:47:54+0000,900.0,1200.0,,,Paraguay,Ruta Nacional General Aquino; Cordillera; Región Oriental; 3190; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/124/12440939.jpg,-25.38250859,-57.25924149,2020-03-23T13:08:53+0000,900.0,1200.0,,,Paraguay,Puma; Ruta Nacional Mariscal Estigarribia; Jhugua Jhu; Ypacarai; Central; Región Oriental; 3280; Paraguay,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/176/176614766.jpg,-25.28929119,-57.57135838,2020-02-23T03:34:59+0000,683.0,408.0,,,Paraguay,Teniente Héctor Vera; Ycuá Satí; Asuncion; Región Oriental; 1820; Paraguay,hotel,cameraforensics
https://r-cf.bstatic.com/images/hotel/max1280x900/202/202028792.jpg,-25.29537028,-57.58197695,2020-02-16T19:17:59+0000,854.0,1280.0,,,Paraguay,La Misión Hotel Boutique; San Roque González; Recoleta; Asuncion; Región Oriental; 001412; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/757/75755297.jpg,-25.28175933,-57.57643354,2020-02-27T17:38:03+0000,900.0,1274.0,,,Paraguay,Paseo del Arte; 688; Profesor Rómulo Feliciangeli; Manorá; Asuncion; Región Oriental; 1813; Paraguay,hotel,cameraforensics
https://q-cf.bstatic.com/images/hotel/max1280x900/134/134951057.jpg,-25.86045933,-56.41668320000001,2020-02-07T23:51:59+0000,900.0,1200.0,,,Paraguay,Ruta Nacional Blas Garay; Santa Lucía; Villarrica; Guairá; Región Oriental; 5000; Paraguay,hotel,cameraforensics
